Loan ID,Loan Title,Loan Purpose,Amount Requested,Interest Rate,APR,Loan Length,Amount Funded,Number of Lenders,Expiration Date,Status,Application Date,CREDIT Rating,Home Ownership,Monthly Income,Debt-To-Income Ratio,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Months Since Last Delinquency,Public Records On File,Months Since Last Record,Loan Description,Location,Education,Employment Length
"968615","Home improvement","home_improvement","7000.00","6.03%","6.78%","36 months","4750.00","43","2011-10-15","In-Funding","2011-10-01","A1","MORTGAGE","16666.67","2.3%","750-779","1991-07-18","9","23","10093","18.5%","1","0","0","0","","0","","","Mahopac, NY","","9 years"
"973417","Add on room","home_improvement","15000.00","6.03%","6.78%","36 months","6750.00","39","2011-10-15","In-Funding","2011-10-01","A1","MORTGAGE","8333.33","11.65%","780+","1991-12-15","7","37","45907","1.7%","0","0","0","0","","0","","  Borrower added on 10/01/11 > I'm glad that i joined Lending Club,I will be able to finish my room additon.<br/> Borrower added on 10/01/11 > I'm glad that I joined Lending Club,I will be able to finish my room additon.thank you.<br/> Borrower added on 10/01/11 > I will use the money in order to finish my room addition.I have a stable job that pay good in stable company.Monthly budget $2300.I always pay my bills on time<br/> Borrower added on 10/01/11 > Funds will be used to finish my room addition.I'm uptodate with my payments.My monthly budget $2500.Cedars Sinai is stable company.<br/> Borrower added on 10/03/11 > I'm very glad to see my account being funded.thank you<br/>null","Los Angeles, CA","","< 1 year"
"973573","Credit Card Refi","credit_card","35000.00","12.42%","14.71%","60 months","24550.00","59","2011-10-15","In-Funding","2011-10-01","B4","RENT","8333.33","10.97%","714-749","1992-02-13","9","25","15387","54.6%","0","0","0","0","","0","","  Borrower added on 10/01/11 > I have a good stable job in the Pharmaceutical Advertising business. I was just promoted.<br/>I have a good monthly budget and recently moved to lower my rent payments and be closer to work (less gas). <br/><br/>With this loan I will be transferring the minimum payments I am making now on my credit cards into one structured loan payment that will get me debt free in 5 years.<br/><br/>Thank you!<br/>null","Morristown, NJ","","4 years"
"973597","Debt Removal","debt_consolidation","35000.00","11.71%","13.99%","60 months","24475.00","58","2011-10-15","In-Funding","2011-10-01","B3","OWN","7500.00","8.31%","750-779","1974-07-17","6","16","9535","49.9%","0","0","0","0","","0","","","Elwood, IL","","4 years"
"973764","roof 2011","other","5875.00","6.03%","6.78%","36 months","4425.00","61","2011-10-15","In-Funding","2011-10-01","A1","MORTGAGE","5166.67","11.11%","780+","1986-01-15","7","19","431","0.8%","0","0","0","0","","0","","","Vancouver, WA","","10+ years"
"973780","white F350","car","7000.00","6.62%","7.99%","36 months","4050.00","41","2011-10-15","In-Funding","2011-10-01","A2","MORTGAGE","12450.00","9.94%","714-749","1991-12-15","11","43","20635","41.9%","0","0","0","0","","0","","  Borrower added on 10/01/11 > I will be selling my other vehicle once I have this vehicle. That vehicle is paid for and the proceeds will be used to pay off most of this loan.<br/>","Katy, TX","","1 year"
"973769","Debt Consolidation Loan","debt_consolidation","4800.00","6.03%","6.78%","36 months","1150.00","29","2011-10-15","In-Funding","2011-10-01","A1","RENT","1700.00","19.24%","750-779","1954-10-30","10","21","10324","27.6%","0","0","0","0","50","0","","  Borrower added on 10/04/11 > I am a reliable and stable borrower,I have a very secure. job and have a good debt to income ratio. I am consolidating several things and will have a larger cash flow.<br/>","San Angelo, TX","","n/a"
"973720","Moving Loan NYC","moving","14000.00","12.42%","15.29%","36 months","8825.00","70","2011-10-15","In-Funding","2011-10-01","B4","RENT","8333.33","2.15%","679-713","2006-07-29","8","11","12033","45.6%","2","0","0","0","","0","","  Borrower added on 10/03/11 > Bridge loan which I intend on paying back in full by the end of October. Utilizing the loan to pay off some moving expenses incurred from transferring to New York City. I have excellent credit and have never taken out a personal loan before. My job is very stable considering I am self-employed and own my own business. The business has been running for several years and I recently purchased a contract to franchise out the business.<br/>","New York, NY","","1 year"
"974003","Debt Consolidation","debt_consolidation","20000.00","14.65%","16.99%","60 months","19225.00","82","2011-10-15","In-Funding","2011-10-01","C3","MORTGAGE","21666.67","4.4%","714-749","1989-07-11","16","44","15965","20.1%","1","0","0","1","16","0","","  Borrower added on 09/14/11 > Basic loan consolidation funds and short term cash needs<br/> Borrower added on 09/14/11 > basic loan consolidation and short term cash needs<br/>Borrower added on 09/14/11 > Basic loan consolidation funds and short term cash needs<br/> Borrower added on 09/14/11 > basic loan consolidation and short term cash needs<br/>","Mission Viejo, CA","","8 years"
"974047","Debt Consolidation Load","debt_consolidation","30000.00","16.29%","19.99%","36 months","23400.00","118","2011-10-16","In-Funding","2011-10-02","D1","RENT","11666.67","11.16%","679-713","1999-01-08","10","54","3025","9.1%","3","0","0","0","35","0","","","Mahwah, NJ","","2 years"
